S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
12,Schaeffler India ,5257.65,4482.6,2591.44,16435.8,15645.94,4650.33,415.43,36.11,33.38,132.9,1.22,6.07,69.09,3.53,18.94,15.83,0.02,97.34,22.34,13.28,0.57,17.89,27.04,2.78,26.83,29.63,0,74.13,4
13,WABCO India ,6312.55,7435.09,6957.85,11968.59,11612.51,2974.85,307.27,38.95,51.69,162,2.68,7.84,38.59,4.02,22.5,14.64,0,362.27,5.56,5.79,0.13,18.47,25.56,1.96,21.62,14.51,0,75,7
14,Sundaram Finance ,1475.95,1361.3,4357.75,16397.81,33119.61,3133.16,581.13,28.22,28.89,52.31,5.21,3.83,-4.91,5.23,12.89,80.93,4.46,1.53,25.02,25.47,0.81,14.28,11.27,6.43,4.84,5.42,0,36.47,4
15,IIFL Holdings ,424.3,406.38,248.06,13545.12,43565.4,6408.71,914.69,14.81,14.66,28.61,0.54,2.4,-1.35,2.11,9.37,68.2,6.51,1.58,17.5,21.56,1.18,18.28,11.53,5.3,7.68,27.33,0,29.03,3
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
16,Dewan Hsg. Fin. ,141.3,288.84,105.56,4434.32,94578.22,12722.75,1499.76,2.96,7.99,47.81,0.14,0.43,-0.15,0.35,8.38,88.55,10.53,1.25,14.72,17.02,3.89,17.22,10.3,2.25,20.81,21.45,0,39.21,2
17,Glaxosmi. Pharma ,1283.85,1505.93,-1638.2,21749.19,20470.49,3125.93,407.88,53.83,72.47,24.08,-4.25,11.38,45.81,6.96,30.78,19.12,0,940.55,84.22,90.92,1.36,16.48,25.23,1.42,1.8,-12.66,0,75,7
18,Biocon ,551.05,210.21,-12557.72,33063,34004.2,5514.4,905.3,44.6,33.85,15.31,-51.26,5.42,49.94,6,22.09,24.46,0.44,15.39,16.11,14.69,0.18,9.76,10.17,2.17,10.66,-0.87,0,60.67,7
19,Tata Inv.Corpn. ,857.95,658.25,1731.67,4340.82,4339.13,215.13,170.92,25.4,16.69,31.02,3.49,0.56,63.66,20.18,22.49,89.62,0,,46.4,47.21,2.54,9.13,10.76,4.59,8.49,7.28,0,73.38,8
20,Bajaj Holdings ,3191.4,2166.91,4474.57,35517.09,35432.68,449.37,2969.11,11.96,7.57,266.8,1.05,1.37,21.52,79.04,11.54,85.38,0,,13.97,14.86,1.25,15.69,3.86,4.94,23.28,11.41,0,49.03,8
21,Cholaman.Inv.&Fn ,1317.25,1118.01,810.01,20596.4,52106.16,7003.05,1186.15,17.36,18.34,75.88,0.67,3.34,-2.71,2.94,9.51,78.22,6.19,1.51,10.44,11.59,0.49,18.69,11.9,7.36,16.26,26.02,0,53.06,4
22,Bajaj Fin. ,3111.85,1139,1429.81,179855.09,241193.39,15930.18,3519.52,51.1,24.75,61.12,1.46,10.36,-10.52,11.29,21.78,68.99,3.73,1.99,8.69,9.96,0.13,20.89,12.86,9.02,33.86,34.95,0,55.17,5
23,Bandhan Bank ,622.5,469.02,,74269.84,102913.26,6644.05,1951.5,38.06,41.58,16.37,,7.92,-28.63,11.18,19.94,61.68,3.64,2.4,8.86,,0.16,,,7.73,,,0,82.26,4
24,IndusInd Bank ,1556.6,1514.02,898.76,93849.91,270562.28,20919.82,3894.09,24.1,25.2,64.82,0.87,4,-4.53,4.49,14.86,61.71,8.09,1.48,12.48,12.24,0.48,16.08,8.36,3.14,19.87,27.81,0,15,5
25,HDFC AMC ,1662.3,,,35336.05,35333.98,1915.18,930.6,37.97,0,,,11.51,56.99,18.45,25.47,62.97,0,,46.69,43.63,0.95,,,1.52,,,0,82.72,6
26,Multi Comm. Exc. ,850.95,705.93,-731.51,4339.85,4280.19,300.04,146.25,25.93,33.22,28.74,-1.59,3.47,43.69,14.46,22.18,31.32,0,,80.01,56.45,2,8.21,11.43,0.4,-7.73,-16.3,0,0,5
27,ICICI Sec ,217.8,,,7016.24,6191.43,1707.51,490.74,14.3,0,15.23,,6.7,98.6,4.11,7.6,46.56,0.81,18.88,54.29,,4.32,,,2.19,,,0,79.22,5
28,Adani Transmissi ,216.4,158.66,,23799.89,33562.74,5651.39,604.03,39.4,15.27,2.97,,3.06,10.83,4.21,11.44,46.36,2.48,1.56,0,0,0,23.32,14.57,2.11,,,52.02,74.92,9
29,Talwalkars Heal. ,113.3,,,351.29,680.35,261.59,75.86,4.63,0,,,0.71,5.98,1.34,4.29,59.46,0.82,6.8,4.51,,0.88,,,3.98,,,77.3,37.66,5
30,VST Inds. ,3451.15,2609.05,6274.48,5328.57,5290.98,1105.52,222.14,23.99,22.15,143.85,2.73,9.15,12.65,4.82,13.65,31.92,0,,65.79,70.93,2.25,34.58,52.27,0.89,7.22,8.8,0,32.16,7
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
31,Godfrey Phillips ,1065.3,804.85,-28404.64,5538.92,5528.92,2407.57,248.69,22.27,26.03,47.83,-37.12,3.11,10.77,2.3,11.86,16.66,0.02,415.58,25.88,26.87,0.75,9.46,13.01,1.31,1.99,-0.6,0,72.19,8
32,Greenply Inds. ,158.05,189.92,660.31,1938.12,2560.58,1753.17,106.41,18.21,17.36,8.68,4.75,2.05,14.71,1.11,12.17,11.58,0.71,5.76,5.42,5.46,0.38,19.53,19,1.56,-3.43,3.83,0,51.03,4
33,Sh.Renuka Sugar ,11.05,0,,2118.09,4448.02,4121,-811.3,,32.17,-4.59,,4.84,-1.77,0.51,-83.92,-2.41,,-0.49,0,0,0,-25.17,-2.91,0.78,-1.81,,0,58.34,2
34,Manappuram Fin. ,117.75,79.08,21.77,9928.28,21825.89,3921.26,851.56,11.66,10.46,10.11,0.13,2.4,-9.26,2.53,8.29,65.69,3.28,2.07,25.12,31.8,1.7,19.02,14.47,22.19,83.34,86.63,4.9,35.14,2
35,Wonderla Holiday ,312.75,304.06,1951.26,1767.31,1746.23,276.15,52.11,33.92,46.35,9.24,13.2,2.29,21.01,6.4,14.56,40.42,0,127.83,22,19.19,0.48,7.48,11.02,0.47,14.43,2.57,0,69.35,7
36,V-Guard Inds. ,216.1,119.32,213.59,9229.23,9226.59,2485.35,133.86,68.95,38.12,3.15,4.24,11.54,170.54,3.71,47.56,7.21,0,126.9,22.39,20.6,0.32,23.37,32.3,2.1,11.34,16.27,0,64.12,3
37,L&T Fin.Holdings ,127.15,136.31,103.46,25424.09,95937.83,12908.19,2231.87,11.39,21.1,11.15,0.58,1.89,-1.63,1.97,9.63,73.92,5.27,1.44,13.67,14.51,0.78,12.1,9.28,5.86,21.23,19.64,0,63.91,5
38,L&T Technology ,1690.9,1076.76,,17587.62,17503.62,4790,732.9,24,21.81,71.17,,8.82,42.52,3.67,15.98,17.34,0.04,442.32,64.82,39.66,0.93,33.38,40.28,2.17,,,0,78.88,4
39,L & T Infotech ,1679.95,1070.57,1998.1,29148.82,28785.52,9445.8,1515.8,19.23,17.34,87.67,1.42,5.96,34.54,3.09,13.17,19.94,0,192.3,33.26,44.69,1.27,34.73,43.53,2.13,13.66,13.5,0,74.8,4
40,Mahindra CIE ,222.35,550.2,,8422.8,9923.5,8031.5,498.1,16.99,41.84,13.15,,1.96,11.9,1.05,9.58,12.46,0.38,14.93,0,0,0,10.17,11.64,1.14,25.39,,0,67.72,6
41,Huhtamaki PPL ,228.1,135.18,-455.43,1722.66,2078.01,2369.07,34.88,56.19,29.26,4.62,-6.16,3.1,17.02,0.73,8.99,9.41,0.72,3.58,64.97,42.45,1.32,10.89,16.33,1.83,18.67,-9.12,0,66.94,6
42,Uflex ,218.9,190.06,340.07,1580.68,3344.57,7711.5,314.89,5.02,4.42,43.61,0.49,0.37,2.41,0.2,3.42,12.38,0.52,2.79,4.65,6.42,0.91,9.18,9.95,2.07,5.73,10.3,9.55,44.01,5
43,Essel Propack ,134.3,79.39,152.36,4233.72,4794.18,2641.66,184.94,22.89,14.54,7.33,1.3,3.19,12.32,1.6,9.3,18.24,0.59,5.67,21.99,20.71,0.89,16.96,17.38,2.54,5.78,17.62,0,57.03,7
44,Tube Investments ,374.45,222.44,,7028.85,7781.36,5779.02,240.42,29.48,28.3,12.85,,4.76,17.73,1.22,13.19,9.36,0.62,7.96,22.26,,0.47,,,1.42,,,0.08,47.89,5
45,Quess Corp ,676.75,1281.94,119.39,9887.59,10217.44,8122.96,257.17,38.45,59.96,17.66,0.42,3.82,90.98,1.22,20.14,5.37,0.47,3.61,0,0,0,16.88,14.31,2.44,43.85,91,0,71.43,7
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
46,Honeywell Auto ,23814.4,14596.78,15723.47,21051.93,20210.5,3004.23,333.09,63.2,51.67,376.76,2.61,13.39,79.71,7.01,38.31,15.02,0,1827.36,11.33,7.6,0.13,16.8,27.71,2.07,10.13,24.23,0,75,8
47,3M India ,22844.35,20329.93,8563.79,25745.58,24965.73,2798.19,357.89,71.94,73.75,317.69,1.68,15.14,877.43,9.2,41.75,19.87,0.01,310.65,0,0,0,22.04,33.89,3.02,10.18,42.7,0,75,8
48,Bosch ,18023.45,20305.7,28396.12,53157.71,51269.91,12666.79,1620.12,31.63,45.18,530.8,3.34,5.09,30.76,4.2,17.5,18.46,0,244.97,22.25,22.86,0.57,16.8,23.7,1.96,6.19,9.46,0,70.54,6
49,Page Industries ,22185.1,18369.31,14059.11,24736.38,24738.05,2852.74,413.18,59.87,63.01,370.44,2.37,26.45,54.17,8.67,36.44,22.58,0.08,39.36,42.09,41.22,0.59,46.62,62.23,1.71,23.83,25.24,0,48.32,8
50,Shree Cement ,19871.75,17215.61,33775.38,69233.18,72515.26,11248.21,1029.34,58.87,43.78,295.47,7.14,7.59,36.81,6.16,26.47,21.64,0.38,6.95,12.59,18.77,0.25,17.68,18.56,2.2,12.66,8.24,0,64.79,4
51,Eicher Motors ,20352.35,31105.94,7192.37,55528.28,54467.12,9824.99,2119.42,26.2,43.27,777.4,0.58,7.1,22.38,5.65,15.67,28.61,0.02,488.19,15.3,17.31,0.54,36.06,53.09,0.84,7.01,45.31,0,49.32,6
52,MRF ,53110.9,36869.74,61739.68,22519.03,24083.1,15890.92,1096.87,20.53,14.38,2586.27,1.49,2.34,8.78,1.42,9.04,14.47,0.18,7.49,2.33,1.93,0.11,21.83,28.07,0.97,4.54,13.76,0.03,27.74,6
53,Sheela Foam ,1349.55,1345.01,617.33,6583.48,6473.17,2134.6,128.04,51.42,49.07,26.24,1.47,10.02,49.25,3.08,27.76,9.66,0.08,20.54,0,0,0,29.61,36.94,1.61,11.58,34.97,0,75,7
54,Kaveri Seed Co. ,448.95,727.95,700.67,2834.18,2827.33,765.86,207.79,13.64,22.87,32.33,1.35,2.74,18.45,3.7,11.78,25.87,0,1567.71,9.43,6.48,0.7,17.86,18.78,1.44,1.67,10.07,0,55.09,8
55,P I Inds. ,1058.85,705.43,554.62,14615.38,14578.59,2661.2,388.8,37.59,26.54,28.19,1.23,7.21,46.47,5.49,24.59,20.14,0.04,78.66,15.05,13.6,0.38,27.26,30.9,2.08,14.63,30.57,0,51.38,4
56,Asian Granito ,184.15,270.24,112.9,554.06,870.54,1209.07,33.12,16.73,15.46,10.57,0.67,1.27,5.74,0.46,8.6,8.17,0.78,2.27,7.43,5.37,0.71,10.8,14.17,1.83,10.34,25.06,0,33.12,8
57,Aegis Logistics ,194.75,169.08,73.3,6504.65,6646.69,5015.1,207.94,31.28,28.56,6.22,0.74,5.12,33.97,1.3,19.2,6.73,0.25,13.09,21.11,25.68,0.64,19.92,20.57,1.14,3.77,42.47,0,60.58,7
58,Allcargo Logist. ,103.8,109.57,2280.14,2550.32,2779.83,6701.31,176.99,16.08,15.72,7.09,20.1,1.26,8.27,0.38,6.34,6.13,0.24,9.21,28.68,23.63,1.93,11.34,13.01,1.46,9.02,0.8,0,70.01,7
59,Mahindra Logis. ,517.05,484.83,,3694.21,3662.81,3729.32,82.6,44.72,53.87,11.61,,8.24,309.19,0.99,23.69,3.97,0.08,40.44,16.67,5.56,0.29,14.7,21.86,1.46,,,0,58.52,6
60,Future Consumer ,42.6,0,,8181.17,8754.08,3650.5,-17.77,,0,-0.11,,8.25,-87.23,2.24,87.42,1.64,0.62,0.7,0,0,0,-10.08,-0.48,2.61,26.85,-12.77,61.04,46.3,4
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
61,Future Supply ,574.85,667.19,,2304.06,2261.34,1093.03,75.16,30.66,39.69,18.75,,5.08,14.12,2.11,16.74,11.95,0.08,7.78,5.95,1.98,0.17,16.28,21.74,1.42,,,0,52.43,6
62,IFB Inds. ,857.55,743.87,764.21,3474.8,3433.29,2438.62,88.92,46,36.88,21.94,2.18,6.31,29.56,1.42,21.35,5.85,0.04,21.82,0,0,0,11.62,15.48,1.33,18.59,21.13,0,74.96,9
63,Crompton Gr. Con ,231.75,242.47,,14530.4,15001.57,4398.34,364.07,39.91,46.9,5.81,,17,46.07,3.3,24.05,13.23,0.82,9.96,33.88,22.36,0.75,63.38,45.32,1.2,,,48.85,34.37,6
64,Blue Star ,698.45,697.88,357.7,6727.05,7022.55,5234.84,190.03,35.77,44.88,19.75,1.13,7.71,282.02,1.29,18.92,6.62,0.45,6.19,64.32,59.45,1.43,20.35,21.49,1.34,10.15,31.6,0,38.76,5
65,Jain Irrigation ,52.25,886.72,,2661.42,6696.14,8771.57,291.75,9.12,208.64,5.49,,0.61,2.03,0.3,5.23,12.27,1.02,1.78,23.51,31.32,1.94,3.92,8.61,2.01,9.52,,48.41,28.65,5
66,HDFC Life Insur. ,414.25,454.47,334.32,83570.01,82461.54,38359.89,1276.8,65.45,86.73,6.35,3.29,14.78,12.4,2.18,62.96,1.99,0,,24.63,23.74,0.33,26.62,32.15,0.76,18.06,19.89,0,76.14,7
67,New India Assura ,180.85,356.31,,29804.08,20783.01,26657.19,1186.26,25.12,26.69,7.19,,0.76,65.53,1.12,14.53,5.08,0,,32.76,30.09,2.42,3.46,4.29,0.53,,,0,85.44,6
68,Balrampur Chini ,156.8,769.17,421.44,3581.91,4563.03,3983.96,242.13,14.79,83.97,10.65,2.47,2.05,3.04,0.9,9.73,10.6,0.62,9.49,25.82,13.24,1.59,25.9,17.35,1.85,5.81,5.98,0,40.98,6
69,Somany Ceramics ,424.3,445.08,359.43,1798.16,2325.61,1740.52,49.1,35.88,26.78,11.37,1.98,3.1,16.23,1.03,13.4,8.91,0.93,2.92,16.25,14.33,0.64,17.42,20.23,2.11,10.43,18.16,0,51.53,5
70,General Insuranc ,241.45,367.13,,42359.99,28188.37,39676.14,2372.53,17.85,19.92,13.56,,0.8,4.89,1.07,10.03,-10.6,0,,36.62,29.67,2.8,5.1,5.44,0.65,,,0,85.78,6
71,Carborundum Uni. ,355.15,321.88,295.51,6717.81,6718.26,2688.9,248.17,27.07,28.21,13.1,1.41,3.9,31.55,2.5,13.84,16.3,0.08,44.49,19.72,19.41,0.63,13.76,18.94,3.24,3.79,19.2,0.1,42.37,7
72,Grindwell Norton ,586.5,412.5,1173.03,6493.73,6221.54,1576.23,168.83,38.46,30.51,15.25,4.81,6.45,48.56,4.12,20.21,17.56,0,241.12,36.97,36.09,0.85,14.65,22.2,2.37,8.61,8,0,58.33,8
73,Johnson Con. Hit ,1853.6,2036.7,650.23,5039.94,5016.79,2203.59,84.12,59.91,55.3,31,1.31,8.68,51.86,2.29,28.51,7.28,0.02,98.27,4.07,5.75,0.08,18.97,23.42,1.48,18.63,45.7,0,74.25,8
74,Godrej Agrovet ,518.6,637.83,454.75,9958.61,10336.59,5721.54,240.4,41.43,53.42,12.41,2.29,6.64,28.14,1.74,19.98,7.88,0.29,12.37,37.7,28.97,0.87,21.35,20.94,1.11,13.44,18.09,0,68.95,6
75,Godrej Inds. ,507.2,576.76,-3456.68,17061.42,23485.25,10132.77,434.66,39.25,46.03,12.88,-16.77,4.07,10.1,1.68,17.3,2.33,1.76,2.44,13.97,24.49,0.34,6.17,7.84,2.36,6.39,-2.34,0,61.33,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
76,Avenue Super. ,1262.45,1180.95,382.11,78787.55,78670.34,18692.84,900.56,87.49,93.95,14.44,1.65,15.36,108.98,4.21,48.81,8.35,0.09,29.65,0,0,0,18.96,23.09,3.53,35.81,52.9,0,81.2,7
77,Chambal Fert. ,155,109.28,227.09,6451.22,11990.99,8540.6,502.95,12.83,9.47,12.08,1.17,2.21,5.55,0.76,12.33,10.18,1.93,5.61,16.47,-224.93,1.23,13.95,11.4,3.92,0.34,10.92,0.52,58.76,7
78,Grasim Inds ,898.65,666.26,1253.42,59095.08,124850,69359.32,1348.04,17.99,16.35,20.51,3.82,1.06,-17.42,0.85,8.09,20.67,1.17,2.25,15.22,10.61,0.69,8.18,13.16,1.31,15.03,4.71,0,40.15,2
79,SBI Life Insuran ,664.15,678.27,831.02,66415,63770.37,44604.06,1326.8,50.06,58.98,13.27,3.91,8.77,6.39,1.49,46.45,2.68,0,,17.39,15.77,0.3,18.93,23.11,1.84,18.03,12.79,0,69.8,6
80,M & M Fin. Serv. ,402.15,344.76,10106.67,24843.41,63848.89,8714.68,1557.06,15.96,23.76,25.33,24.94,2.67,-3.17,2.85,9.99,72.22,4.24,1.6,27.56,31.67,0.99,9.79,9.86,5.64,12.72,0.64,0,51.19,6
81,Shriram Trans. ,1079.65,1190.73,10656.8,24495.1,84176.75,14909.69,1962.53,13.09,17.78,86.5,7.7,1.68,-2.44,1.64,8.46,66.27,5.04,1.41,15.92,14.13,1.02,12.1,11.46,5.22,13.37,1.7,0,26.08,3
82,Indiabulls Hous. ,705.7,1012.86,451.16,30161.86,135671.49,16563.25,4090.53,7.37,12.37,95.84,0.29,2.25,-1.26,1.82,8.83,90.01,8.21,1.58,45.46,55.23,5.8,27.71,11.98,2.34,25.34,25.05,12.72,21.53,3
83,NLC India ,65.2,169.01,176.31,9040.87,17482.03,7786.48,1358.17,6.14,15.01,12.24,0.9,0.65,2.36,1.16,5.15,28.11,0.65,8.48,37.21,101.77,7.61,15.43,16.53,1.96,8.76,6.82,0,81.91,4
84,Bharti Infra. ,274,478.67,195.68,50679.27,50648.07,6826.2,2493.8,20.32,35.51,13.47,0.91,2.99,14.61,7.42,11.97,45.59,0,-8.16,103.84,78.96,5.11,13.55,17.91,0.59,-8.41,22.38,0,53.51,8
85,NHPC Ltd ,23.55,113.38,75.93,23656.06,40785.77,7332.28,2327.68,10.16,42.15,2.27,2.09,0.79,5.77,3.23,7.52,52.38,0.66,4.37,52.07,68.83,6.07,8.72,8.91,1.02,5.54,4.86,0,73.33,7
86,Adani Ports ,387.25,366.69,323.07,80197.6,99434.21,11025.81,3631.61,22.08,20.67,17.54,1.15,3.7,14.3,7.27,13.23,56.79,1.06,4.65,11.27,8.67,0.52,22.62,14.78,5.77,25.92,19.18,42.31,62.3,7
87,Central Dep. Ser ,231.75,282.68,240.46,2421.78,2380.73,196.39,105.76,22.9,28.64,10.12,1.49,3.99,30.54,12.33,15.69,56.47,0,,35.45,33.55,1.51,16.9,23.42,0.99,12.65,15.42,0,24,5
88,BSE ,633.9,1970.16,314.11,3282.9,1314.06,675.28,209.5,14.99,14.75,39.29,0.5,1.12,-13.35,4.86,4.31,36.61,0,300.2,26.95,51.95,5.84,13.94,16.39,1.4,5.05,30,0,0,7
89,ICICI Lombard ,1088.25,793.9,742.04,49440.28,49333.46,10170.88,1049.26,47.12,42.5,23.11,2.01,9.71,20.69,4.86,30.86,14.98,0.11,,21.07,23.38,0.37,18.08,27.07,0.46,11.49,23.48,0,55.87,7
90,Godrej Consumer ,641.35,696.36,767.59,65556.62,68090.16,10385.99,2023.48,40.92,43.55,19.79,2.42,9.54,38.04,6.31,30.32,20.57,0.56,9.94,41.69,34.84,1.04,25.79,22,1.31,8.95,16.88,0,63.25,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
91,S C I ,33.9,70.41,,1579.06,6034.31,3825.84,86.5,18.26,12.92,1.86,,0.23,6.39,0.41,8.2,10.57,0.79,0.41,0,0,0,5.6,3.91,1.63,-3.73,,0,63.75,6
92,B H E L ,68.65,79.4,-29.97,23904.36,12712.63,30198.74,989.87,24.15,36.09,2.69,-0.7,0.73,24.05,0.79,4.65,6.55,0,8.27,82.84,49.01,2.8,0.58,2.14,2.08,-10.03,-34.68,0,63.17,7
93,NBCC ,58.1,59.64,97.31,10458,8744.45,7051.39,373,28.04,32.24,2.08,2.92,7.76,49.21,1.48,15.7,5.35,0,6931,29.95,37.85,0.96,20.37,29.28,1.3,12.81,9.59,0,68.18,5
94,Bharat Electron ,88.45,109.63,141.23,21551.66,20879.62,11808.42,1817.41,11.86,19.1,7.45,1.18,2.56,-27.33,1.83,7.46,23.11,0.01,2014.81,34.83,32.84,2.26,17.49,23.5,1.49,11.08,10.01,0,58.83,3
