S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
42,Uflex ,236.95,192.76,367.85,1711.01,3474.9,7711.5,314.89,5.43,4.42,43.61,0.53,0.4,2.61,0.22,3.56,12.38,0.52,2.79,4.65,6.42,0.84,9.18,9.95,2.07,5.73,10.3,9.55,44.01,5
43,Essel Propack ,134.15,106.58,152.22,4228.99,4789.45,2641.66,184.94,22.87,14.54,7.33,1.3,3.18,12.3,1.6,9.29,18.24,0.59,5.67,21.99,20.71,0.89,16.96,17.38,2.54,5.78,17.62,0,57.03,7
44,Tube Investments ,379.3,336.49,,7119.89,7872.4,5664.41,222.54,31.84,28.3,11.89,,5.12,17.95,1.26,14.36,8.95,0.62,6.84,22.26,,0.46,,,1.42,,,0.08,47.89,5
45,Quess Corp ,690.95,1058.89,121.87,10095.05,10424.9,8122.96,257.17,39.25,59.96,17.66,0.43,3.9,92.89,1.24,20.55,5.37,0.47,3.61,0,0,0,16.88,14.31,2.44,43.85,91,0,71.43,7
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
46,Honeywell Auto ,23727.5,19467.19,15666.25,20975.11,20133.68,3004.23,333.09,62.97,51.67,376.76,2.6,13.34,79.42,6.98,38.17,15.02,0,1827.36,11.33,7.6,0.13,16.8,27.71,2.07,10.13,24.23,0,75,8
47,3M India ,24672.75,23429.64,9248.28,27806.19,27026.34,2798.19,357.89,77.69,73.75,317.69,1.82,16.36,947.66,9.94,45.2,19.87,0.01,310.65,0,0,0,22.04,33.89,3.02,10.18,42.7,0,75,8
48,Bosch ,18005.75,23981.54,28369.18,53105.51,51217.71,12666.79,1620.12,31.6,45.18,530.8,3.34,5.08,30.73,4.19,17.48,18.46,0,244.97,22.25,22.86,0.57,16.8,23.7,1.96,6.19,9.46,0,70.54,6
49,Page Industries ,23585.5,23341.42,14946.75,26297.84,26299.51,2852.74,413.18,63.65,63.01,370.44,2.52,28.12,58.11,9.22,38.74,22.58,0.08,39.36,42.09,41.22,0.56,46.62,62.23,1.71,23.83,25.24,0,48.32,8
50,Shree Cement ,19397.45,12935.68,32972.16,67580.71,70862.79,11248.21,1029.34,57.47,43.78,295.47,6.97,7.41,35.93,6.01,25.87,21.64,0.38,6.95,12.59,18.77,0.26,17.68,18.56,2.2,12.66,8.24,0,64.79,4
51,Eicher Motors ,20531.55,33638.1,7255.5,56017.2,54956.04,9824.99,2119.42,26.43,43.27,777.4,0.58,7.16,22.58,5.7,15.81,28.61,0.02,488.19,15.3,17.31,0.54,36.06,53.09,0.84,7.01,45.31,0,49.32,6
52,MRF ,55642.4,38936.01,64668.76,23592.38,25156.45,15682.85,1148.36,20.54,14.38,2707.65,1.49,2.33,9.2,1.5,9.16,15.39,0.18,7.71,2.33,1.93,0.11,21.83,28.07,0.97,4.54,13.76,0.03,27.74,6
53,Sheela Foam ,1353.9,1287.6,619.25,6604.71,6494.4,2134.6,128.04,51.58,49.07,26.24,1.47,10.05,49.41,3.09,27.86,9.66,0.08,20.54,0,0,0,29.61,36.94,1.61,11.58,34.97,0,75,7
54,Kaveri Seed Co. ,470.15,739.39,733.54,2968.02,2961.17,765.86,207.79,14.28,22.87,32.33,1.42,2.87,19.32,3.88,12.34,25.87,0,1567.71,9.43,6.48,0.67,17.86,18.78,1.44,1.67,10.07,0,55.09,8
55,P I Inds. ,1013.8,748.16,531.01,13993.55,13956.76,2661.2,388.8,35.99,26.54,28.19,1.18,6.91,44.49,5.26,23.54,20.14,0.04,78.66,15.05,13.6,0.39,27.26,30.9,2.08,14.63,30.57,0,51.38,4
56,Asian Granito ,193.5,163.41,118.64,582.2,898.68,1209.07,33.12,17.58,15.46,10.57,0.7,1.33,6.03,0.48,8.88,8.17,0.78,2.27,7.43,5.37,0.67,10.8,14.17,1.83,10.34,25.06,0,33.12,8
57,Aegis Logistics ,196.6,177.64,74,6566.44,6708.48,5015.1,207.94,31.58,28.56,6.22,0.74,5.17,34.3,1.31,19.38,6.73,0.25,13.09,21.11,25.68,0.64,19.92,20.57,1.14,3.77,42.47,0,60.58,7
58,Allcargo Logist. ,112.6,111.45,2472.99,2766.53,2996.04,6701.31,176.99,17.44,15.72,7.09,21.8,1.36,8.98,0.41,6.83,6.13,0.24,9.21,28.68,23.63,1.78,11.34,13.01,1.46,9.02,0.8,0,70.01,7
59,Mahindra Logis. ,538.1,625.43,,3844.6,3813.2,3729.32,82.6,46.54,53.87,11.61,,8.58,321.78,1.03,24.67,3.97,0.08,40.44,16.67,5.56,0.28,14.7,21.86,1.46,,,0,58.52,6
60,Future Consumer ,43.4,0,,8334.81,8907.72,3650.5,-17.77,,0,-0.11,,8.41,-88.87,2.28,88.95,1.64,0.62,0.7,0,0,0,-10.08,-0.48,2.61,26.85,-12.77,61.04,46.3,4
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
61,Future Supply ,555.6,744.19,,2226.9,2184.18,1093.03,75.16,29.63,39.69,18.75,,4.91,13.65,2.04,16.17,11.95,0.08,7.78,5.95,1.98,0.18,16.28,21.74,1.42,,,0,52.43,6
62,IFB Inds. ,859.85,809.15,766.21,3484.11,3442.6,2438.62,88.92,46.12,36.88,21.94,2.18,6.33,29.63,1.43,21.41,5.85,0.04,21.82,0,0,0,11.62,15.48,1.33,18.59,21.13,0,74.96,9
63,Crompton Gr. Con ,234.15,272.49,,14680.87,15152.04,4398.34,364.07,40.32,46.9,5.81,,17.18,46.55,3.34,24.29,13.23,0.82,9.96,33.88,11.29,0.75,63.38,45.32,1.2,,,48.85,34.37,6
64,Blue Star ,648.95,662.88,350.29,6250.29,6545.79,4985.33,141.9,46.84,44.88,14.77,1.48,7.84,262.03,1.25,20.46,5.97,0.45,5.26,64.32,59.45,1.54,20.35,21.49,1.34,10.15,31.6,0,38.76,5
65,Jain Irrigation ,59.15,1145.43,,3014,7048.72,8771.57,291.75,10.33,208.64,5.49,,0.69,2.3,0.34,5.51,12.27,1.02,1.78,23.51,31.32,1.71,3.92,8.61,2.01,9.52,,44.79,28.64,5
66,HDFC Life Insur. ,400,542.93,,80695.24,79586.77,32244.52,1259.63,64.06,86.73,6.26,,14.93,11.97,2.5,60.36,3.06,0,,24.63,23.74,0.34,26.62,32.15,0.76,,,0,80.71,7
67,New India Assura ,184.7,191.9,,30438.56,21417.49,26657.19,1186.26,25.66,26.69,7.19,,0.77,66.92,1.14,14.97,5.08,0,,32.76,30.09,2.37,3.46,4.29,0.53,,,0,85.44,6
68,Balrampur Chini ,141.1,894.28,379.27,3223.27,4204.39,3983.96,242.13,13.31,83.97,10.65,2.23,1.84,2.73,0.81,8.96,10.6,0.62,9.49,25.82,13.24,1.77,25.9,17.35,1.85,5.81,5.98,0,40.98,6
69,Somany Ceramics ,399.85,304.49,338.7,1694.54,2221.99,1740.52,49.1,33.81,26.78,11.37,1.86,2.92,15.29,0.97,12.81,8.91,0.93,2.92,16.25,14.33,0.68,17.42,20.23,2.11,10.43,18.16,0,51.53,5
70,General Insuranc ,249.65,270.12,,43798.59,29626.97,39676.14,2372.53,18.46,19.92,13.56,,0.83,5.06,1.1,10.54,-10.6,0,,36.62,29.67,2.7,5.1,5.44,0.65,,,0,85.78,6
71,Carborundum Uni. ,372.85,375.76,310.58,7052.61,7053.06,2636.32,252.06,27.98,28.21,13.32,1.46,4.24,33.12,2.68,14.5,16.49,0.08,45.96,19.72,19.41,0.6,13.76,18.94,3.24,3.79,19.2,0.1,42.37,7
72,Grindwell Norton ,599.4,465.28,1198.96,6636.56,6364.37,1576.23,168.83,39.31,30.51,15.25,4.91,6.59,49.62,4.21,20.68,17.56,0,241.12,36.97,36.09,0.83,14.65,22.2,2.37,8.61,8,0,58.33,8
73,Johnson Con. Hit ,1896.65,1714.3,665.42,5157,5133.85,2203.59,84.12,61.31,55.3,31,1.34,8.88,53.07,2.34,29.17,7.28,0.02,98.27,4.07,5.75,0.08,18.97,23.42,1.48,18.63,45.7,0,74.25,8
74,Godrej Agrovet ,524.4,662.94,459.79,10069.99,10447.97,5721.54,240.4,41.89,53.42,12.41,2.32,6.72,28.45,1.76,20.2,7.88,0.29,12.37,37.7,28.97,0.86,21.35,20.94,1.11,13.44,18.09,0,68.95,6
75,Godrej Inds. ,508.65,592.87,-3466.37,17110.19,23534.02,10132.77,434.66,39.36,46.03,12.88,-16.82,4.08,10.12,1.69,17.34,2.33,1.76,2.44,13.97,24.49,0.34,6.17,7.84,2.36,6.39,-2.34,0,61.33,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
76,Avenue Super. ,1331.15,1356.64,402.9,83075.01,82957.8,18692.84,900.56,92.25,93.95,14.44,1.74,16.2,114.91,4.44,51.47,8.35,0.09,29.65,0,0,0,18.96,23.09,3.53,35.81,52.9,0,81.2,7
77,Chambal Fert. ,159.45,114.4,233.64,6636.43,12176.2,8540.6,502.95,13.2,9.47,12.08,1.21,2.28,5.71,0.78,12.52,10.18,1.93,5.61,16.47,-224.93,1.19,13.95,11.4,3.92,0.34,10.92,0.52,58.76,7
78,Grasim Inds ,880.55,335.34,1228.34,57904.82,123659.74,69359.32,1348.04,17.63,16.35,20.51,3.74,1.04,-17.06,0.83,8.01,20.67,1.17,2.25,15.22,10.61,0.7,8.18,13.16,1.31,15.03,4.71,0,40.15,2
79,SBI Life Insuran ,610.3,737.25,763.25,61030,58385.37,39055.62,1250.33,48.81,58.98,12.5,3.82,8.61,5.87,1.56,45.61,2.88,0,,17.39,15.77,0.33,18.93,23.11,1.84,18.03,12.79,0,69.8,6
80,M & M Fin. Serv. ,433.35,544.58,11007.33,26770.84,65776.32,8311.62,1393.61,19.21,23.76,22.92,30.02,2.68,-3.41,3.22,11.4,68.26,4.24,1.61,27.56,31.67,0.92,9.79,9.86,5.64,12.72,0.64,0,51.19,6
81,Shriram Trans. ,1179,1537.97,11641.88,26749.15,86430.8,14909.69,1962.53,14.3,17.78,86.5,8.41,1.84,-2.67,1.79,8.68,66.27,5.04,1.41,15.92,14.13,0.93,12.1,11.46,5.22,13.37,1.7,0,26.08,3
82,Indiabulls Hous. ,749.1,1193.21,479.33,32016.79,137526.42,15797.18,4114.75,7.78,12.37,96.46,0.31,2.07,-1.34,2.03,9.23,88.12,8.21,1.57,45.46,55.23,5.46,27.71,11.98,2.34,25.34,25.05,12.72,21.53,3
83,NLC India ,68.1,184.58,184.35,9442.99,17884.15,7786.48,1358.17,6.42,15.08,12.24,0.94,0.68,2.47,1.21,5.26,28.11,0.65,8.48,37.21,101.77,7.28,15.43,16.53,1.96,8.76,6.82,0,81.91,4
84,Bharti Infra. ,301.5,478.32,213.98,55765.69,55734.49,6823.2,2492.2,22.22,35.51,13.47,0.99,3.71,16.07,8.17,12.79,46.09,0,-9.7,103.84,78.96,4.64,13.55,17.91,0.59,-8.41,22.38,0,53.51,8
85,NHPC Ltd ,23.35,95.68,75.33,23455.16,40584.87,7332.28,2327.68,10.08,42.15,2.27,2.07,0.78,5.72,3.2,7.48,52.38,0.66,4.37,52.07,68.83,6.12,8.72,8.91,1.02,5.54,4.86,0,73.33,7
86,Adani Ports ,391.75,362.55,326.88,81129.53,100366.14,11025.81,3631.61,22.34,20.67,17.54,1.16,3.75,14.47,7.36,13.35,56.79,1.06,4.65,11.27,8.67,0.51,22.62,14.78,5.77,25.92,19.18,42.31,62.3,7
87,Central Dep. Ser ,232.5,289.84,241.2,2429.63,2388.58,196.39,105.76,22.97,28.64,10.12,1.49,4.01,30.64,12.37,15.74,56.47,0,,35.45,33.55,1.51,16.9,23.42,0.99,12.65,15.42,0,24,5
88,BSE ,617.8,579.53,306.15,3199.52,1230.68,675.28,209.5,14.61,14.75,39.29,0.49,1.09,-13.01,4.74,4.04,36.61,0,300.2,26.95,51.95,5.99,13.94,16.39,1.4,5.05,30,0,0,7
89,ICICI Lombard ,1070.45,982.18,729.91,48631.6,48524.78,10170.88,1049.26,46.35,42.5,23.11,1.97,9.55,20.35,4.78,30.36,14.98,0.11,,21.07,23.38,0.37,18.08,27.07,0.46,11.49,23.48,0,55.87,7
90,Godrej Consumer ,674.35,861.85,807.17,68929.77,71463.31,10385.99,2023.48,43.03,43.55,19.79,2.55,10.03,40,6.64,31.82,20.57,0.56,9.94,41.69,34.84,0.99,25.79,22,1.31,8.95,16.88,0,63.25,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
91,S C I ,35,24.03,,1630.3,6085.55,3825.84,86.5,18.85,12.92,1.86,,0.24,6.6,0.43,8.26,10.57,0.79,0.41,0,0,0,5.6,3.91,1.63,-3.73,,0,63.75,6
92,B H E L ,73.45,97.19,-32.07,25575.76,14384.03,30198.74,989.87,25.84,36.13,2.69,-0.75,0.78,25.73,0.85,5.26,6.55,0,8.27,82.84,49.01,2.61,0.58,2.14,2.08,-10.03,-34.68,0,63.17,7
93,NBCC ,59.55,67.14,99.74,10719,9005.45,7051.39,373,28.74,32.28,2.08,3,7.95,50.44,1.52,16.17,5.35,0,6931,29.95,37.85,0.93,20.37,29.28,1.3,12.81,9.59,0,68.18,5
94,Bharat Electron ,88.4,142.3,141.11,21539.48,20867.44,11808.42,1817.41,11.85,19.1,7.45,1.18,2.56,-27.32,1.82,7.46,23.11,0.01,2014.81,34.83,32.84,2.26,17.49,23.5,1.49,11.08,10.01,0,58.83,3
