S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
51,CEAT ,1362.2,6477.37,303.34,16.89,10.79,74.9,19.55,0.33,6.01,0.84,1.2,2.06,13.46,1433.5,6295.53,5510.11,3.07,1.1,16.52,1055.53,4.53,14.12,11.01,0,50.76
52,Central Dep. Ser ,258.95,195.65,100.21,27,59.53,9.59,35.45,0,,1.35,1.75,4.36,33.58,268.67,2664.98,2706.03,21.65,0.99,16.9,113.21,12.65,15.42,19.29,0,24
53,Century Ply. ,204.15,2065.87,167.89,27.02,16.05,7.56,14.27,0.65,6.52,0.49,1.09,5.13,13.1,131.68,5062.18,4535.66,5.85,3.23,27.84,82.24,11.7,24.82,19.5,0,72.27
54,Cera Sanitary. ,2565.85,1228.23,101.47,32.89,14.08,78.02,15.57,0.04,32.76,0.47,2.1,5.34,14.92,2620.12,3338.43,3337.12,8.42,1.63,19.67,918.81,19.36,15.67,20.67,0,54.75
55,Chambal Fert. ,158.85,7685.2,495.27,13.35,10.66,11.9,16.47,1.93,6.08,1.2,1.22,2.16,25.89,232.98,12151.23,6611.46,2.34,3.92,11.6,140.48,0.34,10.91,13.59,0.52,58.53
56,Cholaman.Inv.&Fn ,1309.45,5838.43,1061.78,19.28,74.32,67.91,10.44,6.19,1.61,0.5,0.74,3.77,11.41,805.11,51982.75,20472.99,1.34,7.36,19.07,728.84,16.26,26.02,12.13,0,53.06
57,Cipla ,656.45,15633.19,1437.26,35.59,18.09,17.85,17.12,0.29,15.27,0.46,-14.53,3.6,14.92,-4148.78,55991.62,52859.18,5.79,2.54,9.76,270.55,12.85,-2.45,30.19,0,36.7
58,Coal India ,281.55,90946.38,8439.87,20.71,12.93,13.6,145.89,0.08,31.54,5.86,-1.25,7.4,130.54,-271.97,144832.25,174769.6,3.01,1.45,34.3,107.93,13.72,-16.57,10.91,0,78.32
59,Coffee Day Enter ,311.35,3952.8,143.4,72.94,15.8,6.79,0,2.12,1.6,0,,2.74,0,,9960.21,6577.32,1.9,3.99,0.78,131.69,7.94,,17.08,60.07,53.93
60,Colgate-Palm. ,1107.45,4251.16,726.5,42.29,27.3,26.71,96.94,0,,2.17,6.55,17.57,65.33,2797.69,29664.88,30121.04,20.53,1.04,54.09,194.61,5.77,6.46,27.68,0,51
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
61,Container Corpn. ,630.95,6270.43,1055.84,29.13,24.61,21.66,39.73,0,15715,1.36,13.24,3.19,35.46,4588.77,28773.04,30754.74,17.18,2.61,11.11,310.68,7.21,2.2,20.34,0,54.8
62,Coromandel Inter ,398.05,11282,694.48,16.76,11.39,23.75,28.64,0.87,6.25,1.63,1.87,3.62,30.2,709.22,13817.18,11639.54,2.85,2.07,18.07,242.44,3.92,8.98,11.13,0.01,61.81
63,Cox & Kings ,216.85,6726.35,393.73,9.64,13.9,22.3,4.69,1.22,3.27,0.46,1.45,1.12,9.1,515.67,6172.51,3828.81,1.72,2.3,7.53,311.24,28.96,6.67,6.99,62.65,49.34
64,CRISIL ,1737.4,1707.54,324.38,38.56,27.7,45.05,65.95,0,284.35,1.6,6.31,10.36,63.02,4548.94,12385.38,12517.16,19.42,1.39,30.19,412.38,11.15,6.11,26.72,0,67.87
65,Crompton Gr. Con ,217.05,4228.1,347.79,39.12,13.46,5.55,33.88,0.82,9.33,0.81,,15.22,15.4,,14076.09,13604.92,7.24,1.2,66.16,42.2,,,24.01,42.47,34.38
66,Cummins India ,776.9,5069.67,669.31,32.18,14.83,24.15,58.69,0.06,62.83,1.93,357.56,5.17,54.24,138159.47,21316.33,21535.67,10.45,2.13,20.28,285.87,2.06,0.09,23.91,0,51
67,Dabur India ,454.2,8038.96,1422.88,56.38,21.08,8.06,81.29,0.16,33.42,1.65,4.49,13.29,48.76,579.34,80855.26,80223.73,18.6,1.38,28.64,78.73,4.59,12.55,44.27,0,67.88
68,Dewan Hsg. Fin. ,610.15,11193.24,1346.67,14.22,89.3,42.92,14.72,10.53,1.25,0.9,0.66,2.07,11.07,455.25,109290.32,19146.42,0.69,2.25,17.56,532.98,20.81,21.45,10.95,0,39.23
69,Dish TV ,66.6,5550.91,-42.47,,30.11,-0.23,0,0.47,0.93,0,,1.81,0,,14853.88,12262.98,1.52,0.36,102.97,,16.42,,30.86,75.66,36.43
70,DLF ,202.45,6166.44,4540.22,376.58,28.91,25.45,8.03,0.51,4.14,0.99,-193.12,1.04,19.6,-78637.63,51336.56,36123.7,2.35,3.16,1.42,333.87,-2.91,-1.95,4.65,0,74.95
71,Dr Lal Pathlabs ,985.85,1099.9,177.1,46.37,24.87,21.26,21.96,0,301.78,0.46,1.84,9.77,18.07,624.68,7902.72,8216.23,45.12,4.21,27.74,219.75,18.54,25.25,29.1,0,57.41
72,Dr Reddy's Labs ,2529.15,14684.3,1356.3,30.95,19.03,81.7,35.05,0.4,24.32,0.79,-3.08,3.22,22.99,-4029.67,46799.04,41991.44,4.25,2.03,11.93,1202.03,3.83,-10.04,25.06,0.72,26.78
73,Eicher Motors ,28812.2,9512.07,2076.23,37.88,29.43,760.52,15.3,0.02,536.7,0.38,0.84,10.34,16.99,10172.94,77503.08,78564.24,21.88,0.84,36.14,6904.79,7.01,45.31,25.11,0,50.47
74,EID Parry ,212.75,15422.44,337.56,9.78,7.69,19.07,20.76,1.51,3.03,1.41,1.25,1.34,15.22,380.62,7571.82,3765.57,1.58,1.79,11.01,261.01,6.19,7.84,6.96,0.11,44.99
75,EIH ,167.3,1598.84,179.2,53.06,18.7,3.14,28.71,0.17,13.24,0.54,2.19,3.32,40.1,109.93,9887.92,9562.03,6.6,0.96,5.92,59.7,1.71,24.25,32.32,0,35.25
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
76,Emami ,547.2,2614.67,331.87,74.84,29.17,7.31,51.73,0.16,14.8,0.64,21.08,12.17,47.16,2465.71,25085.74,24839.34,22.27,1.41,23.25,85.98,8.29,3.55,54.74,42.02,72.74
77,Endurance Tech. ,1460.8,6800.95,418.81,47.24,14.09,29.77,14.4,0.37,27.39,0.27,2.46,8.95,10.23,1170.12,20859.39,20548.03,8,1.59,21.33,330.72,11.33,19.23,32.04,0,82.5
78,Engineers India ,124.9,1985.54,383.11,20.6,21.03,6.06,66.9,0,794.96,3.2,-2.32,3.35,60.24,-224.93,5411.95,7892.58,3.57,1.78,12.19,71.28,-6.53,-8.88,9.33,0,52.02
79,Essel Propack ,112.9,2498.52,181.16,19.3,18.71,5.75,21.99,0.59,5.95,1.06,1.1,2.75,20.68,100.77,4114.02,3553.56,3.91,2.54,16.97,72.88,5.78,17.62,12.56,0,57.19
80,Eveready Inds. ,234.6,1500.91,59.52,28.65,7.48,8.19,19.91,0.71,3.61,0.64,0.51,4.7,18.38,66.58,1947.05,1705.07,3.18,1.43,23.69,95.88,7.06,56.39,16.99,45.42,44.04
81,Exide Inds. ,269.7,9866.86,689.27,31.98,12.83,8.11,30.52,0,219.47,0.89,5.41,4.09,30.81,702.15,22837.31,22924.5,9.24,1.55,14.23,109.63,8.84,5.91,21.68,0,45.99
82,Fortis Health. ,143.9,4446.24,-1009.83,,-15.78,-19.47,0,0.48,-2.83,0,,1.86,0,,9206.37,7463.85,2.16,0.98,2.06,,8.43,,-12.06,14.39,0.74
83,Future Consumer ,49.95,3183.19,-25.05,,1.44,-0.13,0,0.62,0.57,0,,9.66,0,,10132.18,9559.27,8.14,2.61,-8.94,,26.85,,321.55,51.98,44.52
84,Future Lifestyle ,413.3,4455.2,115.29,69.72,8.62,5.93,20.68,0.52,2.68,0.28,,5.65,15.43,,8728.85,8038.39,3.97,1.5,7.03,98.77,,,33.68,10.95,53.5
85,Future Retail ,569.6,18313.05,25.79,45.46,1.34,0.51,0,0.42,1.15,0,,8.81,0,,29729.48,28626.3,5.77,1.85,15.16,27.24,66.35,,151.57,43.95,46.51
86,Future Supply ,631.25,850.93,72.25,35,15.2,18.04,5.95,0.08,11.13,0.16,,5.81,2.81,,2485.83,2528.55,7.93,1.42,16.36,209.93,,,21.96,0,52.47
87,GAIL (India) ,370.1,59553.27,4852.02,17.26,13.4,21.52,44.38,0.05,34.65,2.46,6.3,2.01,44.86,2168.96,83011.3,83460.17,4.96,0.74,9.73,298.82,2.51,2.74,11,0,53.01
88,General Insuranc ,327.1,39902.68,3614.89,15.88,-3.28,20.6,30.09,0,,1.5,,1.1,20.82,,45195.65,57386.42,1.46,0.64,,371.16,,,10.49,0,85.78
89,Gillette India ,6752.35,1676.85,229.05,96.07,22.76,70.28,211.15,0,47.19,2.43,3.51,30.16,113.86,3946.98,21890.25,22005.9,28.89,1.05,27.8,595.01,7.05,27.37,62.18,0,75
90,Glaxosmi. Pharma ,1721.75,3024.44,414.15,70.1,20.53,24.45,84.23,0,1645.69,1.02,-5.54,13.45,91.61,-2166.12,27888.78,29167.48,12.43,1.42,16.57,265.37,1.8,-12.66,43.45,0,75
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
91,GlaxoSmith C H L ,7398.45,4440.22,768.32,40.5,21.38,182.67,45.05,0,708.62,1.01,4.09,8.44,44.24,11944.52,27532.69,31117.89,12.88,2.66,23.53,1897.76,6.25,9.91,23.27,0,72.46
92,Glenmark Pharma. ,673.4,8905.69,703.48,27.01,15.55,24.93,7.02,0.9,4.41,0.3,5.03,3.52,6.37,2006.28,22407.6,19002.91,3.12,2.73,23.6,327.51,12.6,5.37,17.29,0,46.54
93,Godfrey Phillips ,949.65,2347.51,220.64,23.79,14.94,42.44,25.88,0.02,247.65,0.84,-39.65,2.8,26.62,-26923.94,4927.6,4937.6,7.06,1.31,9.48,569.18,1.99,-0.6,15.19,0,72.19
94,Godrej Agrovet ,576.25,5325.56,255.9,44.62,8.5,13.33,37.7,0.29,10.16,0.78,2.47,7.41,28.51,526.07,11443.64,11065.66,5.36,1.11,21.29,152.69,13.44,18.09,27.03,0,68.79
95,Godrej Consumer ,865.35,10141.77,1814.05,35.48,21.19,26.62,41.69,0.56,13.62,1.16,2.1,8.85,36.86,895.24,61502.31,58968.77,6.7,1.31,25.83,242.02,8.95,16.88,26.76,0,63.26
96,Godrej Inds. ,590.9,9958.9,585.36,34.45,4.17,17.4,13.97,1.76,2.67,0.3,-14.72,4.92,21.04,-4098.67,26300.58,19876.75,2.45,2.36,6.22,216.78,6.38,-2.34,22.37,0,74.72
97,Godrej Propert. ,658.15,2323.32,146.68,102.89,-3.39,6.4,0,1.65,2.18,0,-12.12,6.63,0,-1240.98,18480.96,15092.83,3.26,4.45,7.55,119.52,12.74,-8.49,47.68,0,70.68
98,Grasim Inds ,1019.6,63187.29,3839.03,16.38,20.14,58.38,15.22,1.17,2.23,0.61,3.48,1.14,10.52,3248.46,132802.93,67048.01,1.25,1.31,8.03,1083.37,15.03,4.71,12.39,0.45,40.09
99,Greenlam Industr ,1021,1155.06,66.53,36.98,12.97,27.61,9.33,0.71,6.56,0.24,,6.62,7.94,,2705.61,2464.32,5.47,2.31,18.34,309.42,,,23.56,0,54.74
100,Greenply Inds. ,186.8,1687.4,128.89,17.77,13.59,10.51,5.42,0.71,20.94,0.32,4.64,2.44,5.46,780.21,2913.14,2290.68,2.85,1.56,19.58,134.55,-3.43,3.83,15.36,0,51.03
101,Grindwell Norton ,517,1474.43,164.18,34.86,17.92,14.83,36.97,0,191.6,0.97,4.36,5.55,36.23,1033.95,5452.03,5724.22,12.69,2.37,14.65,176.27,8.61,8,21.89,0,58.36
102,H D F C ,1877.8,36994.71,12803.9,32.92,95.82,75.67,27.56,5.21,1.69,1.05,2.36,5,33.32,2855.08,636292.83,317752.11,1.21,1.96,19.82,799.58,10.76,13.96,16.26,0,0
103,H P C L ,240.4,233463.03,7151.53,5.12,5.23,46.93,40.77,0.88,17.94,7.07,0.1,1.43,41.81,78.16,56429.47,36632.7,2.59,0.77,28.11,421.73,1.19,49.19,5.12,0,0
104,H U D C O ,55.9,4707.25,921.59,12.14,79.78,4.6,13.78,3.68,1.54,0.98,3.95,1.1,13.21,291.04,47160.05,11190.62,0.84,2.05,9.04,72.46,7.45,3.07,12.09,0,89.81
105,Havells India ,646.7,8874.37,801.54,51.04,13.3,12.81,35.1,0.03,50.67,0.62,3.89,10.24,42.96,797.34,39031.17,40449.34,10.68,1.36,19.73,134.9,14.24,13.12,33.32,0,59.55
