comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, upl, acp, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
United spirits,INE854D01024,3,14,-11,-367,05-Dec-2018,152,Buy,Large Cap,531,1244,134 %,9.37,507.45,0,1,15,13,0,7,8,3,dp3 < 6 and peg > 4 and cmp + 134% = myavgiv and tbd_units le 0 and Failed
Indraprastha gas,INE203G01027,3,1,2,67,07-Sep-2018,241,Buy,Mid Cap,309,696,125 %,8.20,285.08,15,0,20,30,6,13,2,0,cmp + 125% = myavgiv and Failed
Hindalco industries,INE038A01020,3,3,0,0,03-Jul-2018,307,Buy,Large Cap,205,456,122 %,(11.38),226.47,-22,1,5,7,8,12,1,0,dp3 < 6 and cmp + 122% = myavgiv and tbd_units le 0 and Failed
Blue dart express,INE233B01017,3,7,-4,-133,09-Nov-2018,178,Buy,Small Cap,3162,6932,119 %,(13.40),3676.42,28,0,33,34,5,-6,-11,0,profit5 < 0 and cmp + 119% = myavgiv and tbd_units le 0 and Failed
Eveready industries,INE128A01029,3,3,0,0,09-Nov-2018,178,Buy,Micro Cap,109,230,111 %,(43.72),274.41,14,1,22,22,7,56,0,50,pledge > 25 and cmp + 111% = myavgiv and tbd_units le 0 and Failed
Shipping corporation,INE109A01011,3,3,0,0,18-Apr-2019,18,Buy,Small Cap,34,70,105 %,(39.34),57.70,0,1,6,4,-4,0,0,0,dp3 < 6 and sales5 < 0 and cmp + 105% = myavgiv and tbd_units le 0 and Failed
Dewan housing finance corporation,INE202B01012,3,3,0,0,04-Feb-2019,91,Buy,Mid Cap,141,289,104 %,(31.54),211.43,17,11,17,10,21,21,0,0,d2e > 2 and cmp + 104% = myavgiv and tbd_units le 0 and Failed
Jsw steel,INE019A01038,3,3,0,0,09-Nov-2018,178,Buy,Large Cap,309,623,101 %,13.96,256.54,-11,1,18,13,13,42,0,46,dp3 < 6 and pledge > 25 and cmp + 101% = myavgiv and tbd_units le 0 and Failed
Narayana hrudayalaya,INE410P01011,3,3,0,0,02-Jan-2019,124,Buy,Small Cap,198,388,95 %,(23.43),271.65,0,1,6,10,22,34,4,0,dp3 < 6 and cmp + 95% = myavgiv and tbd_units le 0 and Failed
Oil natural gas corporation,INE213A01029,3,6,-3,-100,09-Nov-2018,178,Buy,Large Cap,183,350,91 %,(10.98),189.45,53,0,10,11,1,-6,-1,0,profit5 < 0 and cmp + 91% = myavgiv and tbd_units le 0 and Failed
Quess corp,INE615P01015,3,2,1,33,02-Jan-2019,124,Buy,Mid Cap,677,1282,89 %,(20.88),873.32,0,0,17,14,44,91,0,0,dp3 < 6 and cmp + 89% = myavgiv and Failed
Piramal enterprises,INE140A01024,3,5,-2,-67,04-Apr-2018,397,Buy,Large Cap,2317,4259,83 %,(5.67),2741.20,24,2,16,9,25,0,0,0,cmp + 83% = myavgiv and tbd_units le 0 and Failed
National aluminium co,INE139A01034,3,4,-1,-33,09-Nov-2018,178,Buy,Mid Cap,52,95,82 %,(28.34),73.61,76,0,6,10,7,5,1,0,cmp + 82% = myavgiv and tbd_units le 0 and Failed
Pc jeweller,INE785M01013,3,4,-1,-33,09-Oct-2018,209,Buy,Mid Cap,110,200,81 %,25.11,106.47,8,0,17,25,19,14,1,0,cmp + 81% = myavgiv and tbd_units le 0 and Failed
Crisil,INE007A01025,3,4,-1,-33,04-Apr-2018,397,Buy,Mid Cap,1442,2604,80 %,(23.27),1903.67,64,0,31,44,10,7,4,0,cmp + 80% = myavgiv and tbd_units le 0 and Failed
Bharti infratel,INE121J01017,3,2,1,33,09-Nov-2018,178,Buy,Large Cap,274,479,74 %,(10.82),338.08,79,0,14,18,-8,22,1,0,sales5 < 0 and cmp + 74% = myavgiv and Failed
Castrol,INE172A01027,3,4,-1,-33,09-Nov-2018,178,Buy,Mid Cap,150,255,70 %,(16.12),186.88,84,0,71,111,4,8,3,0,cmp + 70% = myavgiv and tbd_units le 0 and Failed
Glenmark pharmaceuticals,INE935A01035,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,633,1075,69 %,3.67,613.85,7,1,23,18,13,5,4,0,cmp + 69% = myavgiv and Failed
Tata steel,INE081A01012,3,7,-4,-133,03-Jul-2018,307,Buy,Large Cap,548,925,68 %,6.36,493.83,-72,2,0,7,0,0,0,4,dp3 < 6 and roe3 < 4 and cmp + 68% = myavgiv and tbd_units le 0 and Failed
Indian oil corporation,INE242A01010,3,4,-1,-33,02-Jan-2019,124,Buy,Large Cap,156,259,66 %,(13.19),177.17,54,1,19,19,-2,38,0,0,sales5 < 0 and cmp + 66% = myavgiv and tbd_units le 0 and Failed
Kaveri seed company,INE455I01029,3,2,1,33,02-Jan-2019,124,Buy,Small Cap,449,728,62 %,(14.41),549.33,6,0,18,19,2,10,1,0,cmp + 62% = myavgiv and Failed
Asahi glass,INE439A01020,3,3,0,0,05-Dec-2018,152,Buy,Small Cap,235,380,61 %,(16.02),287.68,18,1,21,18,6,0,0,5,cmp + 61% = myavgiv and tbd_units le 0 and Failed
Mahindra mahindra,INE101A01026,3,4,-1,-33,05-Dec-2018,152,Buy,Large Cap,646,1038,60 %,(6.55),715.01,18,2,14,13,6,9,2,3,cmp + 60% = myavgiv and tbd_units le 0 and Failed
Varun beverages,INE200M01013,3,3,0,0,02-Jan-2019,124,Buy,Mid Cap,905,1441,59 %,24.41,672.43,12,1,12,14,19,0,0,0,cmp + 59% = myavgiv and tbd_units le 0 and Failed
Care ratings,INE752H01013,3,3,0,0,01-Feb-2018,459,Buy,Small Cap,984,1543,56 %,(32.59),1461.12,75,0,30,44,10,9,2,0,cmp + 56% = myavgiv and tbd_units le 0 and Failed
Coffee day enterprises,INE335K01011,3,2,1,33,04-Apr-2018,397,Buy,Small Cap,261,409,56 %,(6.14),284.73,0,2,1,7,8,0,0,72,dp3 < 6 and roe3 < 4 and pledge > 25 and cmp + 56% = myavgiv and Failed
Ambuja cements,INE079A01024,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,222,342,54 %,(9.75),248.30,17,0,8,14,23,14,1,0,cmp + 54% = myavgiv and tbd_units le 0 and Failed
Acc,INE012A01025,3,5,-2,-67,09-Nov-2018,178,Buy,Mid Cap,1634,2527,54 %,(4.66),1684.45,40,0,11,14,6,7,3,0,cmp + 54% = myavgiv and tbd_units le 0 and Failed
Eicher motors,INE066A01013,3,23,-20,-667,12-Mar-2019,55,Buy,Large Cap,20352,31106,52 %,(10.20),22863.59,17,0,36,53,7,45,1,0,cmp + 52% = myavgiv and tbd_units le 0 and Failed
General insurance corporation,INE481Y01014,3,3,0,0,04-Dec-2018,153,Buy,Large Cap,241,367,52 %,(28.51),348.25,30,0,5,5,0,0,0,0,cmp + 52% = myavgiv and tbd_units le 0 and Failed
Pfizer,INE182A01018,3,2,1,33,19-Sep-2017,594,Buy,Mid Cap,3128,4745,51 %,73.31,1818.32,25,0,13,20,13,12,3,0,cmp + 51% = myavgiv and Failed
Akzo nobel,INE133A01011,3,4,-1,-33,03-Jul-2018,307,Buy,Small Cap,1666,2511,50 %,(6.29),1872.99,73,0,24,31,5,27,1,0,cmp + 50% = myavgiv and tbd_units le 0 and Failed
Nmdc,INE584A01023,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,100,150,50 %,(16.37),122.39,86,0,11,18,2,-10,-1,0,profit5 < 0 and cmp + 50% = myavgiv and tbd_units le 0 and Failed
Hero motocorp,INE158A01026,3,7,-4,-133,03-Jul-2018,307,Buy,Large Cap,2565,3801,48 %,(28.66),3661.38,49,0,35,49,6,13,1,0,cmp + 48% = myavgiv and tbd_units le 0 and Failed
Cadila healthcare,INE010B01027,3,2,1,33,03-Jul-2018,307,Buy,Large Cap,304,448,47 %,(24.47),436.29,20,1,27,20,13,22,1,0,cmp + 47% = myavgiv and Failed
Vrl logistics,INE366I01010,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,265,388,46 %,(30.81),395.14,32,0,18,21,8,15,2,0,cmp + 46% = myavgiv and Failed
Vedanta,INE205A01025,3,7,-4,-133,04-Feb-2019,91,Buy,Large Cap,168,245,45 %,(24.40),231.22,50,1,0,4,102,27,0,0,roe3 < 4 and cmp + 45% = myavgiv and tbd_units le 0 and Failed
Indiabulls housing finance,INE148I01020,3,2,1,33,04-Dec-2018,153,Buy,Large Cap,706,1013,43 %,(28.83),1052.61,55,8,28,12,25,25,0,13,d2e > 2 and cmp + 43% = myavgiv and Failed
Bharat dynamics,INE171Z01018,3,1,2,67,17-Sep-2018,231,Buy,Small Cap,278,397,42 %,(20.87),362.01,30,0,28,41,0,0,0,0,cmp + 42% = myavgiv and Failed
Rallis,INE613A01020,3,2,1,33,04-Apr-2018,397,Buy,Small Cap,146,204,39 %,(36.55),248.05,29,0,16,21,5,8,2,0,cmp + 39% = myavgiv and Failed
Power finance corporation,INE134E01011,3,3,0,0,09-Nov-2018,178,Buy,Mid Cap,114,158,38 %,(3.28),123.03,42,6,13,10,9,6,1,0,d2e > 2 and cmp + 38% = myavgiv and tbd_units le 0 and Failed
Tata elxsi,INE670A01012,3,1,2,67,29-Oct-2018,189,Buy,Small Cap,874,1158,32 %,(6.38),993.14,28,0,39,60,18,51,0,0,cmp + 32% = myavgiv and Failed
Abb,INE117A01022,3,4,-1,-33,02-Jan-2019,124,Buy,Mid Cap,1493,1950,30 %,4.68,1424.66,22,0,12,16,-3,23,3,0,sales5 < 0 and cmp + 30% = myavgiv and tbd_units le 0 and Failed
Motherson sumi systems,INE775A01035,3,3,0,0,06-Nov-2018,181,Buy,Large Cap,142,184,29 %,(27.29),204.72,24,1,24,23,17,31,1,4,cmp + 29% = myavgiv and tbd_units le 0 and Failed
Zee entertainment enterprises,INE256A01028,3,8,-5,-167,28-Jan-2019,98,Buy,Large Cap,411,532,29 %,(11.52),472.31,19,0,20,25,13,15,2,66,pledge > 25 and cmp + 29% = myavgiv and tbd_units le 0 and Failed
Tata coffee,INE493A01027,3,3,0,0,09-Nov-2018,178,Buy,Micro Cap,87,112,28 %,(29.86),130.02,26,1,11,14,-2,-3,-8,0,sales5 < 0 and profit5 < 0 and cmp + 28% = myavgiv and tbd_units le 0 and Failed
Bharat electronics,INE263A01024,3,3,0,0,18-Apr-2019,18,Buy,Large Cap,88,110,25 %,(35.51),137.08,33,0,17,24,11,10,1,0,cmp + 25% = myavgiv and tbd_units le 0 and Failed
Heidelbergcement,INE578A01017,3,1,2,67,26-Oct-2018,192,Buy,Small Cap,182,224,23 %,31.97,137.80,34,1,9,12,16,42,0,0,cmp + 23% = myavgiv and Failed
Godrej agrovet,INE850D01014,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,519,638,22 %,(8.70),574.13,29,0,21,21,13,18,2,0,cmp + 22% = myavgiv and Failed
Hindustan petroleum corporation,INE094A01015,3,3,0,0,09-Oct-2018,209,Buy,Large Cap,286,350,22 %,(5.90),285.64,40,1,28,21,1,49,0,0,cmp + 22% = myavgiv and tbd_units le 0 and Failed
Central depository services,INE736A01011,3,2,1,33,03-Jul-2018,307,Buy,Small Cap,232,283,21 %,(24.80),309.19,34,0,17,23,13,15,1,0,cmp + 21% = myavgiv and Failed
Basf,INE373A01013,3,3,0,0,04-Apr-2018,397,Buy,Small Cap,1352,1634,20 %,(20.81),1729.70,-13,1,-3,4,7,1,0,0,dp3 < 6 and roe3 < 4 and cmp + 20% = myavgiv and tbd_units le 0 and Failed
Greenply industries,INE461C01038,3,1,2,67,28-Jun-2018,312,Buy,Small Cap,158,190,20 %,(28.35),236.07,5,1,20,19,-3,4,5,0,dp3 < 6 and sales5 < 0 and peg > 4 and cmp + 20% = myavgiv and Failed
Eih,INE230A01023,3,3,0,0,02-Jan-2019,124,Buy,Mid Cap,188,224,19 %,21.71,158.33,42,0,6,9,2,24,2,0,cmp + 19% = myavgiv and tbd_units le 0 and Failed
Aditya birla fashion retail,INE647O01011,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,207,246,18 %,31.07,165.44,0,2,2,8,41,0,0,0,dp3 < 6 and roe3 < 4 and cmp + 18% = myavgiv and Failed
Century plyboards,INE348B01021,3,3,0,0,02-Jan-2019,124,Buy,Small Cap,169,200,18 %,(26.15),246.52,13,1,28,22,12,25,1,0,cmp + 18% = myavgiv and tbd_units le 0 and Failed
Glaxosmithkline pharmaceuticals,INE159A01016,3,3,0,0,21-Sep-2018,227,Buy,Mid Cap,1284,1506,17 %,(23.16),1685.31,91,0,16,25,2,-13,-4,0,profit5 < 0 and cmp + 17% = myavgiv and tbd_units le 0 and Failed
Wabco,INE342J01019,3,7,-4,-133,07-Sep-2018,241,Buy,Mid Cap,6313,7435,17 %,(9.46),6926.00,6,0,18,26,22,15,3,0,cmp + 17% = myavgiv and tbd_units le 0 and Failed
Mahindra holidays resorts,INE998I01010,3,3,0,0,02-Jan-2019,124,Buy,Small Cap,239,277,15 %,(20.98),303.41,37,0,19,30,9,5,8,0,peg > 4 and cmp + 15% = myavgiv and tbd_units le 0 and Failed
Engineers,INE510A01028,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,110,126,14 %,(18.84),141.32,59,0,12,19,-7,-9,-2,0,sales5 < 0 and profit5 < 0 and cmp + 14% = myavgiv and Failed
Bharat heavy electricals,INE257A01026,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,69,79,14 %,(11.95),83.42,49,0,1,2,-10,-35,-1,0,roe3 < 4 and roce3 < 4 and sales5 < 0 and profit5 < 0 and cmp + 14% = myavgiv and tbd_units le 0 and Failed
Godrej industries,INE233A01035,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,507,577,13 %,(9.00),558.94,24,2,6,8,6,-2,-17,0,profit5 < 0 and cmp + 13% = myavgiv and Failed
Bosch,INE323A01026,3,19,-16,-533,12-Mar-2019,55,Buy,Large Cap,18023,20306,12 %,(6.68),19279.95,23,0,17,24,6,9,3,0,cmp + 12% = myavgiv and tbd_units le 0 and Failed
Amara raja batteries,INE885A01032,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,659,736,11 %,(17.48),817.16,15,0,20,29,15,10,2,0,cmp + 11% = myavgiv and Failed
Shriram transport finance co,INE721A01013,3,2,1,33,09-Nov-2018,178,Buy,Large Cap,1080,1191,10 %,(0.34),1182.97,14,5,12,11,13,2,8,0,d2e > 2 and peg > 4 and cmp + 10% = myavgiv and Failed
Lic housing finance,INE115A01026,3,3,0,0,04-Dec-2018,153,Buy,Mid Cap,484,528,9 %,(17.41),607.15,17,11,18,10,15,14,1,0,d2e > 2 and tbd_units le 0 and Failed
Pvr,INE191H01014,3,5,-2,-67,02-Jan-2019,124,Buy,Small Cap,1808,1976,9 %,12.70,1518.76,9,1,12,15,24,23,2,0,tbd_units le 0 and Failed
Johnson controls hitachi air conditioning,INE782A01015,3,2,1,33,17-Oct-2017,566,Buy,Small Cap,1854,2037,9 %,(9.80),2106.33,6,0,19,23,19,46,1,0,Passed
Power grid corporation,INE752E01010,3,7,-4,-133,09-Nov-2018,178,Buy,Large Cap,191,208,8 %,0.01,191.93,28,2,15,10,19,14,1,0,tbd_units le 0 and Failed
Godrej consumer products,INE102D01028,3,2,1,33,25-Sep-2018,223,Buy,Large Cap,641,696,8 %,(9.72),746.99,35,1,26,22,9,17,2,0,Passed
Tata global beverages,INE192A01025,3,3,0,0,09-Nov-2018,178,Buy,Mid Cap,204,221,8 %,4.74,199.45,-834,0,5,8,-2,5,6,4,dp3 < 6 and sales5 < 0 and peg > 4 and tbd_units le 0 and Failed
Avanti feeds,INE871C01038,3,5,-2,-67,29-Oct-2018,189,Buy,Mid Cap,371,398,7 %,(34.09),591.14,17,0,48,72,40,72,0,0,tbd_units le 0 and Failed
-,INE999A01015,3,2,1,33,04-Apr-2018,397,Buy,Micro Cap,668,717,7 %,(8.56),753.41,29,0,11,17,8,4,8,0,peg > 4 and Failed
L&t finance holdings,INE498L01015,3,1,2,67,28-May-2018,343,Buy,Large Cap,127,136,7 %,(21.07),176.87,15,5,12,9,21,20,1,0,d2e > 2 and Failed
Housing development finance corporation,INE001A01036,3,13,-10,-333,04-Dec-2018,153,Buy,Large Cap,2006,2132,6 %,35.70,1459.38,35,5,20,11,11,14,3,0,d2e > 2 and tbd_units le 0 and Failed
Allcargo logistics,INE418H01029,3,2,1,33,02-Jan-2019,124,Buy,Small Cap,104,110,5 %,(19.29),139.52,24,0,11,13,9,1,20,0,peg > 4 and Failed
Bharat petroleum corporation,INE029A01011,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,381,403,5 %,(18.78),429.69,45,1,27,24,0,24,1,0,tbd_units le 0 and Failed
Cipla,INE059A01026,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,565,588,4 %,(1.46),566.81,15,0,10,10,13,-2,-13,0,profit5 < 0 and tbd_units le 0 and Failed
Cummins,INE298A01020,3,4,-1,-33,09-Nov-2018,178,Buy,Mid Cap,715,747,4 %,(16.63),886.39,54,0,20,25,2,0,296,0,peg > 4 and tbd_units le 0 and Failed
Crompton greaves consumer electricals,INE299U01018,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,232,242,4 %,(2.58),240.36,22,1,63,45,0,0,0,49,pledge > 25 and Failed
Ttk prestige,INE690A01010,3,6,-3,-100,18-Jul-2017,657,Buy,Small Cap,8063,8397,4 %,27.28,6420.67,21,0,18,24,6,4,13,0,peg > 4 and tbd_units le 0 and Failed
Nbcc,INE095N01031,3,3,0,0,02-Jan-2019,124,Buy,Mid Cap,58,60,3 %,(29.33),84.26,38,0,20,29,13,10,3,0,tbd_units le 0 and Failed
Icici prudential life insurance company,INE726G01019,3,3,0,0,04-Dec-2018,153,Buy,Large Cap,372,380,2 %,(6.36),387.88,65,0,28,30,14,1,27,0,peg > 4 and tbd_units le 0 and Failed
Siemens,INE003A01024,3,4,-1,-33,02-Jan-2019,124,Buy,Large Cap,1176,1189,1 %,(7.35),1269.46,30,0,11,17,2,38,1,0,tbd_units le 0 and Failed
Dr lal path labs,INE600L01024,3,2,1,33,03-Jul-2018,307,Buy,Small Cap,1044,1055,1 %,20.20,888.61,18,0,27,42,19,25,2,0,Passed
Thyrocare technologies,INE594H01019,3,1,2,67,12-Mar-2019,55,Buy,Small Cap,0,0,0 %,(8.98),548.21,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Blue star,INE472A01039,3,2,1,33,09-Nov-2018,178,Buy,Small Cap,698,698,0 %,0.38,646.98,59,0,20,21,10,32,1,0,Passed
Shree renuka sugars,INE087H01022,3,1,2,67,28-Jun-2018,312,Buy,Micro Cap,11,0,0 %,(16.54),12.88,0,0,-25,-3,-2,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and sales5 < 0 and myavgiv eq 0 and Failed
Future consumer,INE220J01025,3,2,1,33,22-Apr-2019,14,Buy,Mid Cap,43,0,0 %,(16.63),52.06,0,1,-10,0,27,-13,0,61,dp3 < 6 and roe3 < 4 and roce3 < 4 and profit5 < 0 and pledge > 25 and myavgiv eq 0 and Failed
Ti financial holdings,INE149A01033,3,3,0,0,03-Jul-2018,307,Buy,Mid Cap,0,0,0 %,(24.83),671.81,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and tbd_units le 0 and Failed
Supreme industries,INE195A01028,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,0,0,0 %,(1.85),1205.90,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Bankbaroda,INE028A01039,3,1,2,67,18-Sep-2018,230,Buy,Large Cap,119,0,0 %,(0.95),126.30,7,15,-5,4,4,0,0,0,d2e > 2 and roe3 < 4 and myavgiv eq 0 and Failed
Idea cellular,INE669E01016,3,4,-1,-33,25-Mar-2019,42,Buy,Large Cap,16,0,0 %,(69.94),57.05,3,2,-3,4,5,0,0,0,dp3 < 6 and roe3 < 4 and myavgiv eq 0 and tbd_units le 0 and Failed
Sheela foam,INE916U01025,3,2,1,33,02-Feb-2018,458,Buy,Small Cap,1350,1345,0 %,(17.54),1649.36,0,0,30,37,12,35,1,0,dp3 < 6 and Failed
Ifb industries,INE559A01017,3,2,1,33,09-Nov-2018,178,Buy,Small Cap,0,0,0 %,(25.72),1157.60,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Dish tv,INE836F01026,3,4,-1,-33,28-Jan-2019,98,Buy,Mid Cap,36,0,0 %,(16.82),44.36,0,0,18,13,16,-12,-2,95,dp3 < 6 and profit5 < 0 and pledge > 25 and myavgiv eq 0 and tbd_units le 0 and Failed
Sbi life insurance company,INE123W01016,3,3,0,0,09-Nov-2018,178,Buy,Large Cap,310,0,0 %,(8.93),670.16,292,15,1,5,6,0,0,0,d2e > 2 and roe3 < 4 and myavgiv eq 0 and tbd_units le 0 and Failed
Rural electrification corporation,INE020B01018,3,3,0,0,09-Nov-2018,178,Buy,Mid Cap,0,0,0 %,(5.81),159.99,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and tbd_units le 0 and Failed
Delta corp,INE124G01033,3,1,2,67,18-Apr-2019,18,Buy,Small Cap,0,0,0 %,(6.65),261.55,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Network18 media investments,INE870H01013,3,1,2,67,13-Mar-2019,54,Buy,Small Cap,0,0,0 %,(7.46),36.20,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Sanofi,INE058A01010,3,4,-1,-33,19-Sep-2017,594,Buy,Mid Cap,5513,5489,0 %,38.46,4094.35,51,0,17,28,9,9,4,0,tbd_units le 0 and Failed
Oil,INE274J01014,3,2,1,33,06-Apr-2018,395,Buy,Mid Cap,0,0,0 %,(20.52),226.03,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Inox leisure,INE312H01016,3,1,2,67,13-Mar-2019,54,Buy,Micro Cap,0,0,0 %,(1.35),318.34,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
State bank,INE062A01020,3,6,-3,-100,09-Nov-2018,178,Buy,Large Cap,0,0,0 %,21.70,255.35,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and tbd_units le 0 and Failed
Hatsun agro product,INE473B01035,3,2,1,33,05-Sep-2018,243,Buy,Mid Cap,0,0,0 %,(6.21),762.28,0,0,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and myavgiv eq 0 and Failed
Larsen toubro,INE018A01030,15,9,6,40,05-Dec-2018,152,Buy,Large Cap,1364,1344,-1 %,22.39,1111.69,31,2,13,12,10,14,2,0,Passed
Itc,INE154A01025,15,11,4,27,09-Nov-2018,178,Buy,Large Cap,304,299,-1 %,21.32,252.59,62,0,24,36,6,9,4,0,Passed
Coromandel international,INE169A01031,3,3,0,0,09-Nov-2018,178,Buy,Mid Cap,427,417,-2 %,(4.91),459.83,31,1,18,18,4,9,2,0,tbd_units le 0 and Failed
Indusind bank,INE095A01012,3,2,1,33,23-Aug-2018,256,Buy,Large Cap,1557,1514,-2 %,(15.18),2003.46,12,8,16,8,20,28,1,0,d2e > 2 and Failed
United breweries,INE686F01025,3,3,0,0,09-Nov-2018,178,Buy,Mid Cap,1386,1345,-2 %,33.62,1069.37,12,0,14,18,8,18,3,18,tbd_units le 0 and Failed
Infosys,INE009A01021,15,12,3,20,11-Sep-2018,237,Buy,Large Cap,724,689,-4 %,49.20,493.60,54,0,23,31,11,7,3,0,Passed
Iifl holdings,INE530B01024,3,1,2,67,07-Sep-2018,241,Buy,Mid Cap,424,406,-4 %,(36.82),709.62,22,7,18,12,8,27,1,0,d2e > 2 and Failed
